Aperture Basic Info,,,,,Detector Frame,,,,Science Frame,,,,,,V-Frame,,Frame Relationships,,,,,,Vertices,,,,,,,,,
InstrName,AperName,DDCName,AperType,AperShape,XDetSize,YDetSize,XDetRef,YDetRef,XSciSize,YSciSize,XSciRef,YSciRef,XSciScale,YSciScale,V2Ref,V3Ref,V3IdlYAngle,VIdlParity,DetSciYAngle,DetSciParity,V3SciXAngle,V3SciYAngle,XIdlVert1,XIdlVert2,XIdlVert3,XIdlVert4,YIdlVert1,YIdlVert2,YIdlVert3,YIdlVert4,UseAfterDate,Comment
NIRISS,NIS_FP4MIMF,NIS_CNTR,FULLSCA,QUAD,2048,2048,1694.00,180.00,2048,2048,355.00,1869.00,,,-246.863859,-641.647574,-0.569986,-1,180.0,1,-90.306461,-0.569986,-23.2226,110.7123,110.7220,-23.1933,-122.8444,-122.4512,12.3840,11.7027,2014-01-01,
NIRISS,NIS_FP5MIMF,NIS_CNTR,FULLSCA,QUAD,2048,2048,100.00,100.00,2048,2048,1949.00,1949.00,,,-351.148865,-636.892518,-0.569986,-1,180.0,1,-90.306461,-0.569986,-127.2010,6.5304,6.5065,-127.3723,-128.8461,-128.0339,6.5817,5.9000,2014-01-01,
NIRISS,NIS_AMIFULL,NIS_AMI,FULLSCA,QUAD,2048,2048,959.00,2008.00,2048,2048,1090.00,41.00,,,-293.735317,-762.311788,-0.569986,-1,180.0,1,-90.306461,-0.569986,-71.2716,62.6418,62.7020,-71.3491,-2.9101,-2.3473,132.8200,132.1551,2014-01-01,
NIRISS,NIS_SOSSFULL,NIS_CNTR,FULLSCA,QUAD,2048,2048,94.00,850.00,2048,2048,1955.00,1199.00,,,-351.046558,-686.283309,-0.569986,-1,180.0,1,-90.306461,-0.569986,-127.7577,6.0963,6.1121,-127.8477,-79.5456,-78.8861,56.0491,55.4215,2014-01-01,
*END*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-03-30,
