,xSci offset,ySci offset,Sci2IdlX00,Sci2IdlX10,Sci2IdlX11,Sci2IdlX20,Sci2IdlX21,Sci2IdlX22,Sci2IdlX30,Sci2IdlX31,Sci2IdlX32,Sci2IdlX33,Sci2IdlX40,Sci2IdlX41,Sci2IdlX42,Sci2IdlX43,Sci2IdlX44,Sci2IdlY00,Sci2IdlY10,Sci2IdlY11,Sci2IdlY20,Sci2IdlY21,Sci2IdlY22,Sci2IdlY30,Sci2IdlY31,Sci2IdlY32,Sci2IdlY33,Sci2IdlY40,Sci2IdlY41,Sci2IdlY42,Sci2IdlY43,Sci2IdlY44
NIS_SUB128,960.0,960.0,62.8,6.537940262473E-02,1.173108020035E-05,8.094631631214E-09,3.858999099522E-08,1.47710E-08,1.18809E-11,3.29342E-11,1.62842E-11,8.78432E-12,1.69075E-15,8.33289E-15,1.56059E-15,7.55580E-15,2.23237E-16,63.6,3.74773E-04,6.57582E-02,1.90549E-08,-3.47258E-08,-1.82484E-07,-5.65652E-12,-3.49263E-11,-1.65360E-11,-9.59592E-11,-1.55698E-15,-8.99985E-16,-9.38319E-15,-2.30488E-17,-1.74803E-14
NIS_SUB256,896.0,896.0,58.6,6.537636811674E-02,7.737697855502E-06,3.856052483406E-09,3.251084399640E-08,1.21469E-08,1.09147E-11,3.11345E-11,1.46337E-11,8.24360E-12,1.69075E-15,8.33289E-15,1.56059E-15,7.55580E-15,2.23237E-16,59.3,3.74140E-04,6.57823E-02,2.22884E-08,-2.83037E-08,-1.63470E-07,-5.20034E-12,-3.35524E-11,-1.53305E-11,-9.14828E-11,-1.55698E-15,-8.99985E-16,-9.38319E-15,-2.30488E-17,-1.74803E-14
NIS_SUBAMPCAL,0.0,0.0,0.0,6.539782763411E-02,0.000000000000E+00,-2.391295979619E-08,-6.227307168671E-09,-2.59779E-09,-2.61116E-12,5.93911E-12,-8.47283E-12,6.73521E-13,1.69075E-15,8.33289E-15,1.56059E-15,7.55580E-15,2.23237E-16,0.0,3.00792E-04,6.58932E-02,4.91296E-08,2.69395E-08,4.38279E-09,1.18626E-12,-1.43186E-11,1.54613E-12,-2.88127E-11,-1.55698E-15,-8.99985E-16,-9.38319E-15,-2.30488E-17,-1.74803E-14
NIS_SUBSTRIP96,930.5,174.5,60.8,6.535648139030E-02,3.583158368646E-06,-1.727562350286E-08,2.521679161519E-08,-5.05662E-09,5.13589E-12,2.97450E-11,-1.61310E-12,7.86001E-12,1.69075E-15,8.33289E-15,1.56059E-15,7.55580E-15,2.23237E-16,11.8,3.89444E-04,6.59014E-02,4.11298E-08,-7.60186E-09,-2.05911E-08,-4.76586E-12,-2.01056E-11,-1.59280E-11,-4.10354E-11,-1.55698E-15,-8.99985E-16,-9.38319E-15,-2.30488E-17,-1.74803E-14
NIS_SUBSTRIP256,930.5,174.5,60.8,6.535648139030E-02,3.583158368646E-06,-1.727562350286E-08,2.521679161519E-08,-5.05662E-09,5.13589E-12,2.97450E-11,-1.61310E-12,7.86001E-12,1.69075E-15,8.33289E-15,1.56059E-15,7.55580E-15,2.23237E-16,11.8,3.89444E-04,6.59014E-02,4.11298E-08,-7.60186E-09,-2.05911E-08,-4.76586E-12,-2.01056E-11,-1.59280E-11,-4.10354E-11,-1.55698E-15,-8.99985E-16,-9.38319E-15,-2.30488E-17,-1.74803E-14
NIS_FP1MIMF,0.5,-11.5,0.0,6.539787413304E-02,5.700171182575E-08,-2.398511112318E-08,-6.023524796944E-09,-2.62521E-09,-2.70360E-12,5.91572E-12,-8.73195E-12,6.67030E-13,1.69075E-15,8.33289E-15,1.56059E-15,7.55580E-15,2.23237E-16,-0.8,3.00532E-04,6.58931E-02,4.92948E-08,2.68899E-08,5.36373E-09,1.19349E-12,-1.41041E-11,1.53754E-12,-2.80086E-11,-1.55698E-15,-8.99985E-16,-9.38319E-15,-2.30488E-17,-1.74803E-14
NIS_FP2MIMF,694.5,-367.5,45.4,6.535669879252E-02,9.366924808691E-06,-3.281255494578E-08,2.177541024502E-08,-1.40765E-08,-9.76604E-13,2.21537E-11,-1.46354E-11,5.59287E-12,1.69075E-15,8.33289E-15,1.56059E-15,7.55580E-15,2.23237E-16,-24.0,3.65000E-04,6.58959E-02,5.17792E-08,1.41824E-08,1.85495E-08,-2.80828E-12,-9.29708E-12,-1.14617E-11,-3.13269E-12,-1.55698E-15,-8.99985E-16,-9.38319E-15,-2.30488E-17,-1.74803E-14
NIS_FP3MIMF,-940.5,-827.5,-61.5,6.541425892624E-02,-2.071598465007E-05,8.037190543926E-09,3.911596784590E-08,2.36377E-08,-1.58672E-11,-2.01549E-11,-3.01656E-11,-7.17163E-12,1.69075E-15,8.33289E-15,1.56059E-15,7.55580E-15,2.23237E-16,-54.7,1.87262E-04,6.58454E-02,4.08415E-08,1.96680E-08,-5.71583E-09,7.78834E-12,3.74988E-12,1.92531E-11,2.90687E-11,-1.55698E-15,-8.99985E-16,-9.38319E-15,-2.30488E-17,-1.74803E-14
NIS_FP4MIMF,-669.5,844.5,-43.8,6.541881209675E-02,1.861141134772E-06,-2.212690270240E-08,-4.648673795225E-09,-6.38009E-09,-1.01843E-13,-8.16166E-12,8.58016E-12,-3.63099E-12,1.69075E-15,8.33289E-15,1.56059E-15,7.55580E-15,2.23237E-16,55.4,2.86441E-04,6.57639E-02,2.53023E-08,6.86848E-08,-1.48616E-07,4.59580E-12,-2.83592E-11,1.40518E-11,-8.78457E-11,-1.55698E-15,-8.99985E-16,-9.38319E-15,-2.30488E-17,-1.74803E-14
NIS_FP5MIMF,924.5,924.5,60.4,6.537760451400E-02,9.426590906842E-06,5.706409743231E-09,3.516342225301E-08,1.32896E-08,1.13450E-11,3.19359E-11,1.53687E-11,8.48439E-12,1.69075E-15,8.33289E-15,1.56059E-15,7.55580E-15,2.23237E-16,61.2,3.74524E-04,6.57719E-02,2.08702E-08,-3.11228E-08,-1.71821E-07,-5.40348E-12,-3.41642E-11,-1.58673E-11,-9.34762E-11,-1.55698E-15,-8.99985E-16,-9.38319E-15,-2.30488E-17,-1.74803E-14
NIS_AMIFULL,65.5,-983.5,4.3,6.538473150316E-02,8.349320284489E-06,-3.032452159507E-08,3.284745209665E-08,-5.29791E-09,-1.03636E-11,4.50683E-12,-3.05618E-11,2.90210E-13,1.69075E-15,8.33289E-15,1.56059E-15,7.55580E-15,2.23237E-16,-64.8,2.82931E-04,6.58691E-02,5.45028E-08,2.43619E-08,-1.19890E-08,1.66346E-12,3.96128E-12,3.84934E-13,3.99533E-11,-1.55698E-15,-8.99985E-16,-9.38319E-15,-2.30488E-17,-1.74803E-14
NIS_SOSSFULL,930.5,174.5,60.8,6.535648139030E-02,3.583158368646E-06,-1.727562350286E-08,2.521679161519E-08,-5.05662E-09,5.13589E-12,2.97450E-11,-1.61310E-12,7.86001E-12,1.69075E-15,8.33289E-15,1.56059E-15,7.55580E-15,2.23237E-16,11.8,3.89444E-04,6.59014E-02,4.11298E-08,-7.60186E-09,-2.05911E-08,-4.76586E-12,-2.01056E-11,-1.59280E-11,-4.10354E-11,-1.55698E-15,-8.99985E-16,-9.38319E-15,-2.30488E-17,-1.74803E-14
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inverse,dXIdl,dYIdl,Idl2SciX00,Idl2SciX10,Idl2SciX11,Idl2SciX20,Idl2SciX21,Idl2SciX22,Idl2SciX30,Idl2SciX31,Idl2SciX32,Idl2SciX33,Idl2SciX40,Idl2SciX41,Idl2SciX42,Idl2SciX43,Idl2SciX44,Idl2SciY00,Idl2SciY10,Idl2SciY11,Idl2SciY20,Idl2SciY21,Idl2SciY22,Idl2SciY30,Idl2SciY31,Idl2SciY32,Idl2SciY33,Idl2SciY40,Idl2SciY41,Idl2SciY42,Idl2SciY43,Idl2SciY44
NIS_CEN_OSS,0.0,0.0,0.0,1.53E+01,-6.93E-05,-8.20E-05,1.95E-05,-8.86E-06,1.46E-07,3.26E-07,4.48E-07,3.46E-08,1.38E-09,-6.83E-09,1.04E-09,-5.99E-09,-9.99E-11,0.00000E+00,-6.99E-02,-1.52E+01,1.75E-04,-9.51E-05,1.40E-05,-6.52E-08,-7.62E-07,-1.03E-07,-1.49E-06,-1.28E-09,7.79E-10,-7.34E-09,-1.82E-10,-1.38E-08
NIS_CEN,0.0,0.0,0.0,1.53E+01,6.93E-05,8.20E-05,1.95E-05,8.86E-06,1.46E-07,-3.26E-07,4.48E-07,-3.46E-08,-1.38E-09,-6.83E-09,-1.04E-09,-5.99E-09,9.99E-11,0.00000E+00,-6.99E-02,1.52E+01,-1.75E-04,-9.51E-05,-1.40E-05,-6.52E-08,7.62E-07,-1.03E-07,1.49E-06,1.28E-09,7.79E-10,7.34E-09,-1.82E-10,1.38E-08
NIS_AMI1,4.3,-64.8,65.5,1.529415504537E+01,-2.114512635878E-03,1.061154562544E-04,-1.160072804056E-04,2.49812E-05,5.65070E-07,-2.78770E-07,1.60392E-06,-8.61193E-08,-1.37559E-09,-6.82868E-09,-1.04293E-09,-5.99284E-09,9.98918E-11,-983.5,-6.57623E-02,1.51814E+01,-1.94652E-04,-8.55604E-05,4.25296E-05,-9.38032E-08,-1.78774E-07,-5.11153E-09,-2.07885E-06,1.27574E-09,7.78973E-10,7.33613E-09,-1.81799E-10,1.37896E-08
NIS_AMI2,2.4,-63.7,37.5,1.529364628706E+01,-1.854297064387E-03,1.027148734468E-04,-1.115022673758E-04,2.17915E-05,5.67551E-07,-2.43586E-07,1.58775E-06,-7.47042E-08,-1.37559E-09,-6.82868E-09,-1.04293E-09,-5.99284E-09,9.98918E-11,-966.5,-6.51450E-02,1.51817E+01,-1.94305E-04,-8.49698E-05,3.57326E-05,-1.02279E-07,-1.66738E-07,-3.25780E-08,-2.01719E-06,1.27574E-09,7.78973E-10,7.33613E-09,-1.81799E-10,1.37896E-08
NIS_AMI3,2.4,-65.8,37.5,1.529389616759E+01,-1.950065679862E-03,1.032389909347E-04,-1.184895311613E-04,2.22811E-05,5.82395E-07,-2.39047E-07,1.62683E-06,-7.55712E-08,-1.37559E-09,-6.82868E-09,-1.04293E-09,-5.99284E-09,9.98918E-11,-999.5,-6.49603E-02,1.51815E+01,-1.93908E-04,-8.48307E-05,4.92776E-05,-1.03973E-07,-1.98631E-07,-3.13961E-08,-2.13709E-06,1.27574E-09,7.78973E-10,7.33613E-09,-1.81799E-10,1.37896E-08
NIS_AMI4,5.2,-65.9,79.5,1.529448273479E+01,-2.280289938521E-03,1.079907260963E-04,-1.201321849639E-04,2.67557E-05,5.67654E-07,-2.95192E-07,1.62207E-06,-9.20500E-08,-1.37559E-09,-6.82868E-09,-1.04293E-09,-5.99284E-09,9.98918E-11,-1000.5,-6.60229E-02,1.51812E+01,-1.94697E-04,-8.59049E-05,4.95935E-05,-9.00020E-08,-1.93007E-07,8.92551E-09,-2.14057E-06,1.27574E-09,7.78973E-10,7.33613E-09,-1.81799E-10,1.37896E-08
